azonosító;dátum;összeg
1001;2010.01.11 16:25;60000
1002;2010.01.17 11:01;5000
1004;2010.01.21 15:40;18000
1005;2010.02.02 9:26;24000
1004;2010.02.04 11:47;30000
1006;2010.02.20 16:36;9000
1007;2010.02.21 13:44;12000
1005;2010.03.01 10:49;8000
1007;2010.03.06 14:52;15000
1009;2010.04.12 20:21;20000
1004;2010.05.10 12:00;8000
1006;2010.06.08 11:10;4000
1010;2010.06.22 17:22;7000
1010;2010.07.14 3:35;8500
1012;2010.07.19 12:48;41000
1004;2010.09.02 16:51;11000
1006;2010.09.05 14:34;15000
1007;2010.09.25 21:16;4000
1012;2010.10.01 13:13;10000
1010;2010.10.01 14:29;5000
1012;2010.10.12 16:54;6000
1007;2010.11.24 11:02;14000
1009;2010.11.25 10:48;19000
1007;2010.11.25 16:01;17000
1002;2010.11.29 13:34;10000
1010;2010.11.30 8:27;12000
1004;2010.12.12 22:02;20000
1001;2010.12.15 12:28;25000
1002;2010.12.23 19:42;3000
1005;2010.12.23 20:33;7500
1002;2010.12.29 10:00;18000
