Nemzet (NOB-kód)	Részvétel nyári olimpián	Arany nyári olimpián	Ezüst nyári olimpián	Bronz nyári olimpián	Részvétel téli olimpián	Arany téli olimpián	Ezüst téli olimpián	Bronz téli olimpián
Afganisztán Afganisztán (AFG)	13	0	0	2	0	0	0	0
Algéria Algéria (ALG)	12	5	2	8	0	0	0	0
Amerikai Virgin-szigetek Amerikai Virgin-szigetek (ISV)	11	0	1	0	6	0	0	0
Argentína Argentína (ARG)	23	18	24	28	17	0	0	0
Ausztrálázsia Ausztrálázsia (ANZ)	2	3	4	5	0	0	0	0
Ausztrália Ausztrália (AUS)	25	138	153	176	17	5	1	3
Ausztria Ausztria (AUT)	26	18	33	35	21	55	70	76
Azerbajdzsán Azerbajdzsán (AZE)	5	6	5	15	4	0	0	0
Bahama-szigetek Bahama-szigetek (BAH)	15	5	2	5	0	0	0	0
Bahrein Bahrein (BRN)	8	0	0	1	0	0	0	0
Barbados Barbados (BAR)	11	0	0	1	0	0	0	0
Belgium Belgium (BEL)	25	37	52	53	19	1	1	3
Bermuda Bermuda (BER)	17	0	0	1	6	0	0	0
Bohémia Bohémia (BOH)	3	0	1	3	0	0	0	0
Botswana Botswana (BOT)	9	0	1	0	0	0	0	0
Brazília Brazília (BRA)	21	23	30	55	6	0	0	0
Brit Nyugat-India Brit Nyugat-India (BWI)	1	0	0	2	0	0	0	0
Bulgária Bulgária (BUL)	19	51	85	78	18	1	2	3
Ciprus Ciprus (CYP)	9	0	1	0	9	0	0	0
Chile Chile (CHI)	22	2	7	4	15	0	0	0
Elefántcsontpart Elefántcsontpart (CIV)	12	0	1	0	0	0	0	0
Costa Rica Costa Rica (CRC)	14	1	1	2	6	0	0	0
Csehország Csehország (CZE)	5	14	15	14	5	5	5	6
Csehszlovákia Csehszlovákia (TCH)	16	49	49	45	16	2	8	15
Dánia Dánia (DEN)	26	43	67	69	12	0	1	0
Dél-afrikai Köztársaság Dél-afrikai Köztársaság (RSA)	18	23	26	27	6	0	0	0
Dél-Korea Dél-Korea (KOR)	16	81	82	80	16	23	14	8
Dominikai Köztársaság Dominikai Köztársaság (DOM)	13	3	2	1	0	0	0	0
Dzsibuti Dzsibuti (DJI)	8	0	0	1	0	0	0	0
Gabon Gabon (GAB)	9	0	1	0	0	0	0	0
Egyesített Csapat Egyesített Csapat (EUN)	1	45	38	29	1	9	6	8
Egyesült Államok Egyesült Államok (USA)	26	976	758	668	21	87	95	72
Guatemala Guatemala (GUA)	13	0	1	0	1	0	0	0
Egyesült Német Csapat Egyesült Német Csapat (EUA)	3	28	54	36	3	8	6	5
Egyiptom Egyiptom (EGY)	21	7	9	10	1	0	0	0
Holland Antillák Holland Antillák (AHO)	13	0	1	0	2	0	0	0
Eritrea Eritrea (ERI)	4	0	0	1	0	0	0	0
Észak-Korea Észak-Korea (PRK)	9	14	12	21	8	0	1	1
Észtország Észtország (EST)	11	9	9	15	8	4	2	1
Etiópia Etiópia (ETH)	12	21	7	17	2	0	0	0
Fehéroroszország Fehéroroszország (BLR)	5	12	25	41	5	1	4	4
Finnország Finnország (FIN)	24	101	84	117	21	41	59	56
Franciaország Franciaország (FRA)	27	202	223	246	21	27	27	40
Független résztvevõk Független résztvevõk (IOP)	1	0	1	2	0	0	0	0
Fülöp-szigetek Fülöp-szigetek (PHI)	20	0	2	7	3	0	0	0
Montenegró Montenegró (MNE)	2	0	1	0	1	0	0	0
Ghána Ghána (GHA)	13	0	1	3	1	0	0	0
Görögország Görögország (GRE)	27	30	42	38	17	0	0	0
